District Name,Population,Population Growth,Temperature Max,Temperature Min,Rainfall,Latitude,Longitude,Rivers
Alirajpur,728999,19.45 %,33.48,17.51,2.67,22.303301,74.3591,
Anuppur,749237,12.30 %,31.92,16.61,4.13,23.115179,81.7005,
Ashoknagar,845071,22.66 %,32.62,16.15,3.44,24.579901,77.728996,
Balaghat,1701698,13.60 %,33.24,16.15,3.08,21.812876,80.18383,
Barwani,1385881,27.57 %,32.59,16.15,2.09,22.0354,74.899803,
Betul,1575362,12.92 %,32.71,16.9,2.5,21.901159,77.896019,
Bhind,1703005,19.21 %,31.96,16.59,2.14,26.585739,78.77047,
Bhopal,2371061,28.62 %,32.3,16.36,3.11,23.259933,77.412613,
Burhanpur,757847,19.37 %,33.75,17.99,2.18,21.311729,76.226173,
Chhattarpur,1762375,19.51 %,32.47,16.57,3.18,24.92098,79.5839,
Chhindwara,2090922,13.07 %,32.49,16.8,2.93,22.057438,78.938171,
Damoh,1264219,16.63 %,32.37,16.25,3.53,23.838099,79.442169,
Datia,786754,18.46 %,32.23,16.48,2.31,25.6577,78.457802,
Dewas,1563715,19.53 %,32.87,16.77,3.13,22.962267,76.050797,
Dhar,2185793,25.60 %,32.81,17.65,2.25,22.5977,75.303703,
Dindori,704524,21.32 %,32.23,17.65,3.8,22.845745,81.075462,
East Nimar,1310061,21.50 %,33.53,17.48,3.18,21.97794,76.622932,
Guna,1241519,26.97 %,32.33,16.51,4.12,24.64113,77.314018,
Gwalior,2032036,24.50 %,32.25,16.41,2.25,26.218287,78.182831,
Harda,570465,20.25 %,33.28,17.14,2.9,22.335545,77.099609,
Hoshangabad,1241350,14.49 %,32.32,16.16,2.99,22.744108,77.736969,
Indore,3276697,32.88 %,32.98,17.07,3.07,22.719568,75.857727,
Jabalpur,2463289,14.51 %,32.37,16.33,4.39,23.181467,79.986404,
Jhabua,1025048,30.70 %,33.13,18.58,1.98,22.7738,74.5923,
Katni,1292042,21.41 %,32.3,18.58,3.16,23.830845,80.407227,
Mandla,1054905,17.97 %,32.31,16.48,4.1,22.597921,80.371384,
Mandsaur,1340411,13.24 %,32.03,17.09,2.95,24.076836,75.069298,
Morena,1965970,23.44 %,32.18,16.49,2.18,26.49901,78.002998,
Narsimhapur,1091854,14.01 %,32.27,16.22,3.04,22.9431,79.2145,
Neemuch,826067,13.77 %,32.08,17.16,2.78,24.476385,74.862411,
Panna,1016520,18.67 %,32.37,16.49,2.9,24.718031,80.181931,
Raisen,1331597,18.35 %,32.33,16.25,3.55,23.33,77.784103,
Rajgarh,1545814,23.26 %,32.52,16.5,3.69,22.677601,74.947502,
Ratlam,1455069,19.72 %,32.38,17.11,3,23.334169,75.037636,
Rewa,2365106,19.86 %,32.15,17.04,3.59,24.543961,81.301537,
Sagar,2378458,17.63 %,32.54,17.04,3.65,23.838804,78.737808,
Satna,2228935,19.19 %,32.35,17.04,2.89,24.56016,80.83033,
Sehore,1311332,21.54 %,32.63,17.04,3.16,23.20643,77.08757,
Seoni,1379131,18.22 %,32.56,16.78,3.55,22.37244,79.799728,
Shahdol,1066063,17.39 %,32.08,16.47,3.66,23.288401,81.361198,
Shajapur,1512681,17.20 %,32.47,16.75,3.52,23.424601,76.275703,
Sheopur,687861,22.94 %,32.24,16.69,2.7,25.670799,76.700798,
Shivpuri,1726050,22.76 %,32.59,16.15,2.65,25.424009,77.657791,
Sidhi,1127033,23.72 %,32.02,16.67,3.88,24.207109,81.778702,
Singrauli,1178273,28.05 %,31.93,16.81,3.4,24.20359,82.666611,
Tikamgarh,1445166,20.13 %,32.55,16.33,2.73,24.743799,78.832397,
Ujjain,1986864,16.12 %,32.88,16.99,3.05,23.17919,75.784248,
Umaria,644758,24.96 %,32.88,16.44,3.66,23.5254,80.838402,
Vidisha,1458875,20.09 %,32.55,16.4,3.75,23.5235,77.813911,
West Nimar,1873046,22.85 %,33.48,17.49,2.37,21.87886,75.74766,
