month,year,state,Deaths, Cases,so2,no2,rspm/pm,precipitation,population density, Number of Rural Hospitals (Govt.),Number of Urban Hospitals (Govt.),Birth Rate,% with toilets,Humidity,Average temp
Jan,2015,Andhra Pradesh,0,132,7.083333333,19.47222222,70.15555556,0.7,308.0,308.0,152,17.5,46.36685453,46,21
Feb,2015,Andhra Pradesh,0,88,7.017777777999999,19.48,74.57333333,1.2,308.0,308.0,152,17.5,46.36685453,39,24
Mar,2015,Andhra Pradesh,0,44,7.65625,19.11160714,76.16071429,6.5,308.0,308.0,152,17.5,46.36685453,39,28
Apr,2015,Andhra Pradesh,0,44,6.484304933,17.995515700000002,76.59821429,7.5,308.0,308.0,152,17.5,46.36685453,35,31
May,2015,Andhra Pradesh,0,88,6.925581395,19.71627907,76.0625,84.8,308.0,308.0,152,17.5,46.36685453,29,35
Jun,2015,Andhra Pradesh,0,176,6.741116751,20.14720812,68.87980769,35.0,308.0,308.0,152,17.5,46.36685453,58,29
Jul,2015,Andhra Pradesh,0,419,6.328888889,20.88444444,71.03111111,141.1,308.0,308.0,152,17.5,46.36685453,58,28
Aug,2015,Andhra Pradesh,0,1082,6.565420561,20.93925234,71.20465116,144.3,308.0,308.0,152,17.5,46.36685453,71,26
Sep,2015,Andhra Pradesh,0,2031,6.453703704,21.97685185,68.59174312,128.6,308.0,308.0,152,17.5,46.36685453,71,26
Oct,2015,Andhra Pradesh,2,463,6.283783784,21.49099099,75.3963964,160.8,308.0,308.0,152,17.5,46.36685453,59,26
Nov,2015,Andhra Pradesh,0,198,8.60326087,25.07608696,77.6,49.5,308.0,308.0,152,17.5,46.36685453,62,24
Dec,2015,Andhra Pradesh,0,154,6.827272727,23.55,72.81363636,17.5,308.0,308.0,152,17.5,46.36685453,52,23
Jan,2015,Arunachal Pradesh,0,0,2.0,5.0,93.66666667,19.0,17.0,382.0,2,19.4,60.89892136,40,14
Feb,2015,Arunachal Pradesh,0,0,2.0,5.0,106.57142859999999,101.9,17.0,382.0,2,19.4,60.89892136,33,16
Mar,2015,Arunachal Pradesh,0,0,2.0,5.0,119.4761905,80.3,17.0,382.0,2,19.4,60.89892136,41,19
Apr,2015,Arunachal Pradesh,0,0,2.0,5.0,79.625,86.7,17.0,382.0,2,19.4,60.89892136,51,20
May,2015,Arunachal Pradesh,0,0,4.0,5.0,92.52976193,299.0,17.0,382.0,2,19.4,60.89892136,53,24
Jun,2015,Arunachal Pradesh,0,0,2.0,5.0,89.60773812,415.3,17.0,382.0,2,19.4,60.89892136,60,25
Jul,2015,Arunachal Pradesh,0,1,3.3,5.0,86.68571431,392.4,17.0,382.0,2,19.4,60.89892136,63,24
Aug,2015,Arunachal Pradesh,0,3,2.0,5.0,83.76369051,599.6,17.0,382.0,2,19.4,60.89892136,67,24
Sep,2015,Arunachal Pradesh,1,7,6.0,8.0,55.66666667,343.0,17.0,382.0,2,19.4,60.89892136,67,24
Oct,2015,Arunachal Pradesh,0,1,5.625,5.5,62.75,35.1,17.0,382.0,2,19.4,60.89892136,50,21
Nov,2015,Arunachal Pradesh,0,0,4.666666667,5.0,73.75,20.1,17.0,382.0,2,19.4,60.89892136,43,17
Dec,2015,Arunachal Pradesh,0,0,5.75,8.125,102.125,10.2,17.0,382.0,2,19.4,60.89892136,40,13
Jan,2015,Assam,0,135,7.0045248870000005,13.68918919,68.73423423,19.0,398.0,985.0,35,22.5,66.04165644,64,18
Feb,2015,Assam,0,90,7.344978166000001,14.213973800000002,98.4628821,101.9,398.0,985.0,35,22.5,66.04165644,56,20
Mar,2015,Assam,0,45,8.412244897999999,15.5877551,161.1020408,80.3,398.0,985.0,35,22.5,66.04165644,46,24
Apr,2015,Assam,0,45,7.887892377000001,15.37219731,137.6547085,86.7,398.0,985.0,35,22.5,66.04165644,68,25
May,2015,Assam,0,90,6.558951965,13.50655022,90.01304348,299.0,398.0,985.0,35,22.5,66.04165644,69,27
Jun,2015,Assam,0,180,6.350649351,12.75757576,75.64502165,415.3,398.0,985.0,35,22.5,66.04165644,87,27
Jul,2015,Assam,0,428,5.794759825,11.96069869,73.00436681,392.4,398.0,985.0,35,22.5,66.04165644,90,27
Aug,2015,Assam,0,1103,5.937238494,11.92468619,72.31380753,599.6,398.0,985.0,35,22.5,66.04165644,92,27
Sep,2015,Assam,0,2072,6.130630631,12.31981982,75.29279279,343.0,398.0,985.0,35,22.5,66.04165644,87,26
Oct,2015,Assam,1,473,6.983739837000001,13.2601626,85.73983740000001,35.1,398.0,985.0,35,22.5,66.04165644,81,24
Nov,2015,Assam,0,202,7.480686695,15.44206009,89.36480687,20.1,398.0,985.0,35,22.5,66.04165644,80,20
Dec,2015,Assam,0,157,7.876865672,19.60820896,98.46641791,10.2,398.0,985.0,35,22.5,66.04165644,77,16
Jan,2015,Bihar,0,49,58.54761905,37.5,151.047619,17.0,1106.0,565.0,106,27.7,62.43630291,55,17
Feb,2015,Bihar,0,33,59.96078431,37.52941176,167.48076919999997,33.5,1106.0,565.0,106,27.7,62.43630291,45,21
Mar,2015,Bihar,0,16,59.41304348,37.39130435,179.6086957,8.4,1106.0,565.0,106,27.7,62.43630291,33,26
Apr,2015,Bihar,0,16,66.37333333,38.42666667,164.6410256,0.7,1106.0,565.0,106,27.7,62.43630291,31,32
May,2015,Bihar,0,33,66.33707865,38.57303371,162.66292130000002,103.9,1106.0,565.0,106,27.7,62.43630291,30,37
Jun,2015,Bihar,0,66,74.72972973,39.0,149.4864865,115.2,1106.0,565.0,106,27.7,62.43630291,42,33
Jul,2015,Bihar,0,157,74.44444444,36.88888889,106.19444440000001,265.4,1106.0,565.0,106,27.7,62.43630291,62,32
Aug,2015,Bihar,0,407,77.70834788,38.22841113,127.66115690000001,307.6,1106.0,565.0,106,27.7,62.43630291,64,30
Sep,2015,Bihar,0,764,80.71379082,38.31018157,120.96494750000001,160.3,1106.0,565.0,106,27.7,62.43630291,61,27
Oct,2015,Bihar,0,174,64.625,36.375,198.25,47.8,1106.0,565.0,106,27.7,62.43630291,52,27
Nov,2015,Bihar,0,74,64.66666667,35.0,215.0,0.0,1106.0,565.0,106,27.7,62.43630291,43,25
Dec,2015,Bihar,0,58,64.75,36.625,211.0,1.2,1106.0,565.0,106,27.7,62.43630291,45,20
Jan,2015,Chhattisgarh,0,11,8.606060606,23.17647059,111.23529409999999,2.1,189.0,1903.0,120,24.5,79.35763641,44,19
Feb,2015,Chhattisgarh,0,7,9.465116279,20.90697674,98.30555556,27.9,189.0,1903.0,120,24.5,79.35763641,32,24
Mar,2015,Chhattisgarh,0,3,9.627906977,21.39534884,102.5142857,19.2,189.0,1903.0,120,24.5,79.35763641,31,28
Apr,2015,Chhattisgarh,0,3,9.825,20.525,95.65625,16.2,189.0,1903.0,120,24.5,79.35763641,28,33
May,2015,Chhattisgarh,0,7,9.333333332999999,20.90196078,100.04651159999999,25.5,189.0,1903.0,120,24.5,79.35763641,23,37
Jun,2015,Chhattisgarh,0,15,10.06666667,21.51111111,102.3055556,102.7,189.0,1903.0,120,24.5,79.35763641,56,32
Jul,2015,Chhattisgarh,0,37,9.872340426000001,24.19148936,123.3902439,422.4,189.0,1903.0,120,24.5,79.35763641,67,29
Aug,2015,Chhattisgarh,0,97,8.424242424,19.96969697,95.71428571,327.6,189.0,1903.0,120,24.5,79.35763641,73,28
Sep,2015,Chhattisgarh,1,183,9.638297872,23.70212766,114.6046512,253.3,189.0,1903.0,120,24.5,79.35763641,68,28
Oct,2015,Chhattisgarh,0,41,10.58181818,25.32727273,124.83333329999999,74.6,189.0,1903.0,120,24.5,79.35763641,53,26
Nov,2015,Chhattisgarh,0,17,10.52727273,25.25454545,127.5306122,2.7,189.0,1903.0,120,24.5,79.35763641,49,24
Dec,2015,Chhattisgarh,0,13,10.61111111,25.09259259,122.64583329999999,0.6,189.0,1903.0,120,24.5,79.35763641,49,22
Jan,2015,Delhi,0,249,4.759259258999999,63.38888889,228.61111110000002,1.08,11320.0,0.0,109,17.3,65.36501525,54,13
Feb,2015,Delhi,0,166,4.803278689,70.22950820000001,235.7868852,7.79,11320.0,0.0,109,17.3,65.36501525,45,18
Mar,2015,Delhi,0,83,4.387096774,69.35483871,168.3709677,29.56,11320.0,0.0,109,17.3,65.36501525,43,22
Apr,2015,Delhi,0,83,5.896551724,71.56896552,225.9310345,19.72,11320.0,0.0,109,17.3,65.36501525,28,30
May,2015,Delhi,0,166,5.403225806,66.70967742,228.12903230000003,0.92,11320.0,0.0,109,17.3,65.36501525,15,34
Jun,2015,Delhi,0,332,5.5,57.196969700000004,189.2424242,49.07,11320.0,0.0,109,17.3,65.36501525,29,38
Jul,2015,Delhi,0,789,3.859375,45.859375,156.0625,121.85,11320.0,0.0,109,17.3,65.36501525,55,34
Aug,2015,Delhi,2,2037,3.322033898,52.37288136,134.9830508,31.38,11320.0,0.0,109,17.3,65.36501525,56,33
Sep,2015,Delhi,15,3824,3.693548387,54.77419355,170.33870969999998,23.14,11320.0,0.0,109,17.3,65.36501525,43,30
Oct,2015,Delhi,15,873,7.0819672129999995,70.08196721,240.9672131,0.32,11320.0,0.0,109,17.3,65.36501525,30,27
Nov,2015,Delhi,6,374,13.44067797,93.47457627,313.4915254,0.3,11320.0,0.0,109,17.3,65.36501525,31,21
Dec,2015,Delhi,4,291,5.761904762,94.140625,335.27692310000003,0.0,11320.0,0.0,109,17.3,65.36501525,33,15
Jan,2015,Goa,0,6,4.875,10.97222222,69.70138889,0.1,394.0,8.0,3,13.1,39.40592439,57,25
Feb,2015,Goa,0,4,4.552238806,10.14179104,72.08208955,1.0,394.0,8.0,3,13.1,39.40592439,57,26
Mar,2015,Goa,0,2,5.0,10.74100719,65.4028777,0.3,394.0,8.0,3,13.1,39.40592439,67,28
Apr,2015,Goa,0,2,4.947712418,9.738562092,64.33333333,0.5,394.0,8.0,3,13.1,39.40592439,68,29
May,2015,Goa,0,4,4.805369128,10.10067114,50.28187919,26.9,394.0,8.0,3,13.1,39.40592439,73,30
Jun,2015,Goa,0,8,4.316176471,8.294117647,42.96323529,258.5,394.0,8.0,3,13.1,39.40592439,82,27
Jul,2015,Goa,0,20,3.4817073169999997,7.408536585,37.58536585,1354.7,394.0,8.0,3,13.1,39.40592439,85,27
Aug,2015,Goa,0,51,3.23880597,7.402985075,36.82835821,702.6,394.0,8.0,3,13.1,39.40592439,83,27
Sep,2015,Goa,0,96,3.948529412,9.0859375,44.48529412,436.7,394.0,8.0,3,13.1,39.40592439,79,27
Oct,2015,Goa,0,22,4.611842105,9.263157895,49.07894737,111.4,394.0,8.0,3,13.1,39.40592439,74,28
Nov,2015,Goa,0,9,4.362962963,9.814814815,61.94814815,8.2,394.0,8.0,3,13.1,39.40592439,69,28
Dec,2015,Goa,0,7,4.62745098,11.19607843,70.9025974,12.0,394.0,8.0,3,13.1,39.40592439,59,27
Jan,2015,Gujarat,0,127,20.3083004,84.9486166,69.70138889,7.5,308.0,1476.0,77,21.1,64.93160262,43,20
Feb,2015,Gujarat,0,85,20.4765625,87.30078125,72.08208955,0.2,308.0,1476.0,77,21.1,64.93160262,30,25
Mar,2015,Gujarat,0,42,20.62890625,88.86328125,65.4028777,0.2,308.0,1476.0,77,21.1,64.93160262,24,29
Apr,2015,Gujarat,0,42,20.79186223,90.95222435,64.76360752,1.0,308.0,1476.0,77,21.1,64.93160262,27,34
May,2015,Gujarat,0,85,23.78571429,84.5,64.33333333,1.3,308.0,1476.0,77,21.1,64.93160262,29,36
Jun,2015,Gujarat,0,170,21.47916667,85.10416667,50.28187919,12.2,308.0,1476.0,77,21.1,64.93160262,49,34
Jul,2015,Gujarat,0,404,25.22222222,81.11111111,42.96323529,341.8,308.0,1476.0,77,21.1,64.93160262,74,30
Aug,2015,Gujarat,1,1044,21.20754717,84.20754717,37.58536585,154.4,308.0,1476.0,77,21.1,64.93160262,75,29
Sep,2015,Gujarat,5,1960,21.63461538,84.34615385,36.82835821,268.6,308.0,1476.0,77,21.1,64.93160262,65,29
Oct,2015,Gujarat,2,447,20.77777778,84.48148148,44.48529412,3.5,308.0,1476.0,77,21.1,64.93160262,35,30
Nov,2015,Gujarat,0,191,21.52631579,84.10526316,49.07894737,1.5,308.0,1476.0,77,21.1,64.93160262,33,27
Dec,2015,Gujarat,0,149,23.55263158,105.26315790000001,61.94814815,0.0,308.0,1476.0,77,21.1,64.93160262,28,22
Jan,2015,Haryana,0,122,16.0,57.95238095,132.0,1.08,573.0,61.0,93,21.6,26.74443787,54,13
Feb,2015,Haryana,0,81,17.38888889,81.94444444,142.9,7.79,573.0,61.0,93,21.6,26.74443787,45,18
Mar,2015,Haryana,0,40,13.3,80.85,75.63636364,29.56,573.0,61.0,93,21.6,26.74443787,43,21
Apr,2015,Haryana,0,40,14.63157895,72.31578947,68.81818182,19.72,573.0,61.0,93,21.6,26.74443787,27,29
May,2015,Haryana,0,81,13.28157895,83.764599,40.63636364,0.92,573.0,61.0,93,21.6,26.74443787,15,36
Jun,2015,Haryana,0,163,12.46216375,87.96417711,14.95545455,49.07,573.0,61.0,93,21.6,26.74443787,29,36
Jul,2015,Haryana,0,387,11.64274854,92.16375522,10.72545454,121.85,573.0,61.0,93,21.6,26.74443787,55,32
Aug,2015,Haryana,0,999,10.82333334,96.36333333,36.40636363,31.38,573.0,61.0,93,21.6,26.74443787,56,31
Sep,2015,Haryana,4,1877,10.00391813,100.5629114,62.08727272,23.14,573.0,61.0,93,21.6,26.74443787,44,29
Oct,2015,Haryana,6,428,9.18450293,104.7624896,87.76818181,0.32,573.0,61.0,93,21.6,26.74443787,31,27
Nov,2015,Haryana,2,183,8.365087726,108.96206770000002,113.4490909,0.3,573.0,61.0,93,21.6,26.74443787,31,22
Dec,2015,Haryana,1,142,7.545672522,113.16164579999999,139.13,0.0,573.0,61.0,93,21.6,26.74443787,33,16
Jan,2015,Himachal Pradesh,0,12,2.335688148,13.20665185,90.4523488,66.3,123.0,98.0,53,16.2,14.12531752,46,10
Feb,2015,Himachal Pradesh,0,8,2.354818027,13.32091162,79.75596405,118.6,123.0,98.0,53,16.2,14.12531752,53,14
Mar,2015,Himachal Pradesh,0,4,2.44591195,11.97233017,71.19355204,118.4,123.0,98.0,53,16.2,14.12531752,53,17
Apr,2015,Himachal Pradesh,0,4,2.4374511780000003,12.49152137,75.9208132,55.8,123.0,98.0,53,16.2,14.12531752,47,23
May,2015,Himachal Pradesh,0,8,2.422754947,12.83837139,86.60503687,64.7,123.0,98.0,53,16.2,14.12531752,33,29
Jun,2015,Himachal Pradesh,0,16,2.427428775,13.42540709,82.65989627,54.4,123.0,98.0,53,16.2,14.12531752,47,30
Jul,2015,Himachal Pradesh,0,38,2.314313725,12.07829167,71.05317829,214.4,123.0,98.0,53,16.2,14.12531752,83,28
Aug,2015,Himachal Pradesh,0,99,2.263851575,11.89160479,68.56682946,167.8,123.0,98.0,53,16.2,14.12531752,86,26
Sep,2015,Himachal Pradesh,1,186,2.524517361,13.14203316,69.07793155,86.5,123.0,98.0,53,16.2,14.12531752,63,25
Oct,2015,Himachal Pradesh,0,42,2.369766839,13.36221071,77.70264977,18.1,123.0,98.0,53,16.2,14.12531752,47,21
Nov,2015,Himachal Pradesh,0,18,2.267389456,13.68290816,87.38143939,3.7,123.0,98.0,53,16.2,14.12531752,49,17
Dec,2015,Himachal Pradesh,0,14,2.324212272,13.71773927,94.22718519,51.2,123.0,98.0,53,16.2,14.12531752,40,12
Jan,2015,Jammu & Kashmir,0,13,3.217391304,18.91304348,143.9565217,105.4,56.0,1402.0,567,17.6,82.21142324,34,-1
Feb,2015,Jammu & Kashmir,0,8,3.380952381,18.47619048,152.76190480000002,89.6,56.0,1402.0,567,17.6,82.21142324,48,1
Mar,2015,Jammu & Kashmir,0,4,3.85,20.5,115.0,214.5,56.0,1402.0,567,17.6,82.21142324,47,4
Apr,2015,Jammu & Kashmir,0,4,4.5882352939999995,17.94117647,106.23529409999999,106.7,56.0,1402.0,567,17.6,82.21142324,35,9
May,2015,Jammu & Kashmir,0,8,4.0869565219999995,16.04347826,114.1304348,73.9,56.0,1402.0,567,17.6,82.21142324,21,13
